연번,발송일시,제목,내용,유형,데이터기준일자
1,2025-06-12 17:44:16,,"<군포 환경한마당 안내>  제30회 환경의 날(플라스틱 오염 종식)을 맞아 『2025년 군포 환경한마당』이 개최됩니다. ○ 일시: 6. 14.(토) 14:00~17:00 ○ 장소: 산본로데오거리 ○ 주요내용: 기후위기·탄소중립 체험 및 홍보부스 (에코백·수세미 만들기, 분리배출 게임 등) ※ 체험부스 3개 이상 참여 시 친환경 비누 증정 ○ 문의: 군포시 환경과 031-390-0249  작은 실천이 지구를 바꿉니다! 가족·이웃과 함께 즐거운 환경 체험에 참여해 보세요!",장문,2025-06-16
2,2025-06-04 10:56:38,,"<군포시민 걷기왕 프로젝트!> 노No담배 선언, 걷기실천 챌린지!! -~  ○ 참여기간 : 2025년 5월 29일 (목) ~ 6월 26일 (목) ○ 참여방법 : 워크온 설치>군포시 공식커뮤니티 가입> 노담 선언 챌린지 참여하기  ○ 이 벤 트  : 기간내 20만보 걷기 + 금연구역 인증 & 응원문구 작성     ※ 500명 추첨 모바일 상품권 5,000원  걸으면 건강도 오고, 선물도 오고! 지금 함께 걸어요~!  ☞ 문의: 군포시 산본보건지소（☎ 031-390-8928)",장문,2025-06-16
3,2025-05-20 08:56:39,,"내 소중한 지방세 환급금 지금 바로 신청하고 돌려받으세요!  지방세 중 착오부과, 이중납부, 정산환급 등으로 돌려받을 세금이 발생한 경우 지방세를 환급받을 수 있습니다 ○ 인터넷 :　위택스(www.wetax.go.kr) → 환급금 빠른조회 → 환급신청 ○ 카카오톡　: 카카오톡 검색창에 「군포시 지방세 환급 신청」 채널 추가 후 환급신청 ○ 부서방문 : 군포시청 민원실 9번창구 방문(납세자 본인이 신분증 지참 방문) ○ 전화신청 : 군포시청 세원관리과（☎ 031-390-0197）  여기서 잠깐!  위택스에서 환급계좌 신고를 하시면 별도의 신청없이 즉시 이체해주니 더욱 편리합니다   ☞ 문의: 군포시청 세원관리과（☎ 031-390-0197）",장문,2025-06-16
4,2025-05-02 17:05:09,,"5월 가정의 달을 맞아 군포시에서 다양한 행사를 진행합니다  <제103회 어린이날 기념행사> ? 일시 : 5. 3.(토) 10:00 ~ 16:00  ? 장소 : 군포시민체육광장 (우천시 군포시민체육광장 제1체육관 운영) ? 내용 :  버블쇼, 마술쇼, 서커스, 마임 공연 등  <제53회 어버이날 기념행사> ? 일시 : 5. 8.(목) 13:00 ~ 15:00 (14:00 기념식) ? 장소 : 군포문화예술회관 수리홀 ? 내용 : 기념식 및 부대행사   <가족 어울림 축제> ? 일시 : 5. 24.(토) 10: 30 ~ 16:00 ? 장소 : 산본중심상가 일대 ? 내용 : 다양한 가족 문화 부스 운영 및 가족 문화 공연",장문,2025-06-16
5,2025-04-24 16:44:01,,"<군포철쭉축제, 지금 아니면 1년을 기다려야 해요!>  봄과 함께하는 군포 철쭉축제, 4월 27일(일)까지 진행됩니다 4월 26일(토)에는 꿈의 오케스트라, 군포 합창제 등 다채로운 공연도 함께 즐기실 수 있어요 철쭉도시 군포에서 봄의 절정을 함께 느껴보세요!!  더 자세한 프로그램 일정은 아래를 참고하세요! http://www.gunpofestival.org/bbs/content.php?co_id=schedule",장문,2025-06-16
6,2025-04-11 14:58:17,,"<군포행사소식>  ""지하철 타고 떠나는 봄꽃 여행!""  2025 군포철쭉축제가 일주일 앞으로 다가왔습니다.  4월 19일(토)부터 4월 27일(일)까지 9일간 열리는 군포시 철쭉축제는 차없는 거리에서 다채로운 공연과 함께 합니다.  아찔한 핑크빛이 가득한 군포철쭉축제에서 봄날의 설렘을 느껴보세요  철쭉축제로 오시는 길은 아래를 참조해주세요~ http://www.gunpofestival.org/bbs/content.php?co_id=way_to_come",장문,2025-06-16
7,2025-03-27 09:14:25,,"<군포 행사 소식>  -11th Anniversary 2025 군포철쭉축제-  ""시민의 일상이 축제가 되다""    2025년 4월 19일(토)부터 4월 27일(일)까지 군포철쭉축제가 열립니다  이번 축제는 경기도 문화사계 ‘봄’ 행사(4.19.~4.20./초막골생태공원) 협업으로 더욱 다채로운 축제가 될 것으로 기대됩니다.  가족과 함께, 연인과 함께,    군포철쭉축제에서 설레는 봄을 맞이 하시면 어떨까요?  ※ 초대가수 : 이찬원, 김태우 , 황윤성  철쭉축제에 대한 더 자세한 안내는 아래 링크에서 확인하세요 http://www.gunpofestival.org/bbs/content.php?co_id=intro",장문,2025-06-16
8,2025-06-04 09:45:00,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청(www.gpmedia.or.kr) ○ 신청결과 : 접수마감일 이후 3일 이내 교육비 결제 방법 등 문자 안내 예정  ※ 문의사항 ☎ 031-399-8975 ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
9,2025-05-31 11:00:00,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청(www.gpmedia.or.kr) ○ 신청결과 : 접수마감일 이후 3일 이내 교육비 결제 방법 등 문자 안내 예정  ※ 문의사항 ☎ 031-399-8975 ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
10,2025-05-27 09:30:00,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청(www.gpmedia.or.kr) ○ 신청결과 : 접수마감일 이후 3일 이내 교육비 결제 방법 등 문자 안내 예정  ※ 문의사항 ☎ 031-399-8975 ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
